"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2936","Успешное выполнение ACTION после успешного LOGIN","","Mon May 04 04:57:09 UTC 2026","passed","Mon May 04 04:57:12 UTC 2026","","api.WorkflowTest","api.WorkflowTest","testActionAfterSuccessfulLogin"
"","71","Успешная авторизация (LOGIN)","","Mon May 04 04:57:13 UTC 2026","passed","Mon May 04 04:57:13 UTC 2026","","api.LoginTest","api.LoginTest","testSuccessfulLogin"
"","44","Валидация форматов токена Ошибка валидации при отправке токена: """"","","Mon May 04 04:57:13 UTC 2026","passed","Mon May 04 04:57:13 UTC 2026","","api.NegativeTest","api.NegativeTest","testInvalidTokenFormats"
"","61","Валидация форматов токена Ошибка валидации при отправке токена: ""123456789012345678901234567890123""","","Mon May 04 04:57:13 UTC 2026","passed","Mon May 04 04:57:13 UTC 2026","","api.NegativeTest","api.NegativeTest","testInvalidTokenFormats"
"","38","Валидация форматов токена Ошибка валидации при отправке токена: ""USER1234567890123456789012345678""","","Mon May 04 04:57:13 UTC 2026","passed","Mon May 04 04:57:13 UTC 2026","","api.NegativeTest","api.NegativeTest","testInvalidTokenFormats"
"","33","Ошибка доступа при неверном X-Api-Key","","Mon May 04 04:57:13 UTC 2026","passed","Mon May 04 04:57:13 UTC 2026","","api.NegativeTest","api.NegativeTest","testInvalidApiKey"
"","129","Успешный LOGOUT убивает сессию (ACTION не работает)","","Mon May 04 04:57:12 UTC 2026","passed","Mon May 04 04:57:12 UTC 2026","","api.WorkflowTest","api.WorkflowTest","testLogoutKillsSession"
"","47","Отказ в ACTION без предварительного LOGIN","","Mon May 04 04:57:12 UTC 2026","passed","Mon May 04 04:57:12 UTC 2026","","api.WorkflowTest","api.WorkflowTest","testActionWithoutLogin"
"","71","Валидация форматов токена Ошибка валидации при отправке токена: ""1234567890123456789012345678901""","","Mon May 04 04:57:13 UTC 2026","passed","Mon May 04 04:57:13 UTC 2026","","api.NegativeTest","api.NegativeTest","testInvalidTokenFormats"
"","104","Обработка ошибки 500 от внешнего сервиса","","Mon May 04 04:57:12 UTC 2026","passed","Mon May 04 04:57:13 UTC 2026","","api.NegativeTest","api.NegativeTest","testExternalServiceError"
